Distance(mm),Time(ms),Hilbert Amptitude(mV)
160,0.38036,130.2204891674978
160,0.3804,125.06258294648731
160,0.38044,120.10993918191595
160,0.38048,130.0055010400362
160,0.38052,118.01463211881976
160,0.38056,127.2392805002474
160,0.3806,124.09541344801059
160,0.38064,121.2082155179028
160,0.38068,129.00341647487826
160,0.38072,120.00389762141744
160,0.38076,127.0511378415919
160,0.3808,124.02069816686524
160,0.38084,122.05063072079223
160,0.38088,128.00006261204845
160,0.38092,120.01250934095218
160,0.38096,125.09565515134952
160,0.381,124.02482276037075
160,0.38104,122.0812252322286
160,0.38108,127.00060079580142
160,0.38112,121.0035650515162
160,0.38116,126.03712157573632
160,0.3812,124.0049699368109
160,0.38124,123.03869801716792
160,0.38128,127.00049788604063
160,0.38132,122.00035790562326
160,0.38136,126.03201981822
160,0.3814,124.02024313130033
160,0.38144,123.03372864477544
160,0.38148,126.00196985177139
160,0.38152,122.00244113027765
160,0.38156,126.0132555958403
160,0.3816,124.01611764775693
160,0.38164,122.01427248748959
160,0.38168,126.00211988568806
160,0.38172,122.00134306271754
160,0.38176,125.03151207944907
160,0.3818,124.01501227569666
160,0.38184,122.03116307762463
160,0.38188,126.00292160193922
160,0.38192,123.00045751085811
160,0.38196,125.01080542652612
160,0.382,124.00165477007877
160,0.38204,123.01778502963036
160,0.38208,126.00297512107191
160,0.38212,123.0001227915872
160,0.38216,126.02190662573572
160,0.3822,125.01687514841522
160,0.38224,123.00470900015044
160,0.38228,125.00010470656743
160,0.38232,123.00082188102931
160,0.38236,125.0042223460175
160,0.3824,124.00281242960882
160,0.38244,123.00508155746418
160,0.38248,125.00144192731534
160,0.38252,123.00013616641847
160,0.38256,125.01216250676924
160,0.3826,124.00225811586496
160,0.38264,124.01896004648265
160,0.38268,126.00157931033769
160,0.38272,123.00010283878528
160,0.38276,125.00292519734204
160,0.3828,124.0050163347421
160,0.38284,123.00364454440383
160,0.38288,125.00046514517706
160,0.38292,123.00001701384798
160,0.38296,125.0081130004475
160,0.383,124.00814906659012
160,0.38304,123.00843841199874
160,0.38308,125.00000650068223
160,0.38312,123.00065466218038
160,0.38316,125.00397313065015
160,0.3832,124.00371287712112
160,0.38324,123.00353479603167
160,0.38328,125.00084324051079
160,0.38332,123.00110834129329
160,0.38336,124.01356033387334
160,0.3834,125.0014497829629
160,0.38344,123.00003059020823
160,0.38348,124.00057458134836
160,0.38352,123.00062304615132
160,0.38356,124.00767815077398
160,0.3836,124.00055142338668
160,0.38364,124.00787302876911
160,0.38368,125.00000018958028
160,0.38372,123.00075428110324
160,0.38376,125.00730273416366
160,0.3838,124.00104622756702
160,0.38384,124.00722246647166
160,0.38388,125.00058647482798
160,0.38392,123.00002058254154
160,0.38396,124.00517262338047
160,0.384,124.00001064822635
160,0.38404,123.00675779101924
160,0.38408,125.00791207912131
160,0.38412,124.00078100912498
160,0.38416,125.00914300968229
160,0.3842,125.0000267670689
160,0.38424,125.00135863516861
160,0.38428,125.00669799872401
160,0.38432,123.00039880148515
160,0.38436,124.00022062222695
160,0.3844,123.00006251654442
160,0.38444,124.01238465199769
160,0.38448,125.00007867535533
160,0.38452,123.00098190366465
160,0.38456,125.0066227109757
160,0.3846,124.00063193890348
160,0.38464,124.00732107835245
160,0.38468,125.00009149633568
160,0.38472,124.00002554420486
160,0.38476,124.00062116874753
160,0.3848,124.00295389854949
160,0.38484,125.0037236681688
160,0.38488,125.00199677447344
160,0.38492,123.00010028944519
160,0.38496,125.005288632634
160,0.385,124.00186599153304
160,0.38504,124.00731143590335
160,0.38508,125.0007427223305
160,0.38512,123.00091754867785
160,0.38516,125.00937538620947
160,0.3852,125.00051462978637
160,0.38524,124.00071717401501
160,0.38528,125.00014486772858
160,0.38532,124.00000333905184
160,0.38536,125.00065314985797
