Distance(mm),Time(ms),Amptitude(mV)
0,0.395440,124.00
0,0.395480,124.00
0,0.395520,124.00
0,0.395560,124.00
0,0.395600,123.00
0,0.395640,124.00
0,0.395680,125.00
0,0.395720,124.00
0,0.395760,123.00
0,0.395800,123.00
0,0.395840,124.00
0,0.395880,125.00
0,0.395920,124.00
0,0.395960,124.00
0,0.396000,125.00
0,0.396040,124.00
0,0.396080,124.00
0,0.396120,124.00
0,0.396160,124.00
0,0.396200,124.00
0,0.396240,124.00
0,0.396280,124.00
0,0.396320,124.00
0,0.396360,124.00
0,0.396400,124.00
0,0.396440,124.00
0,0.396480,124.00
0,0.396520,124.00
0,0.396560,124.00
0,0.396600,124.00
0,0.396640,123.00
0,0.396680,124.00
0,0.396720,124.00
0,0.396760,124.00
0,0.396800,124.00
0,0.396840,124.00
0,0.396880,124.00
0,0.396920,124.00
0,0.396960,124.00
0,0.397000,124.00
0,0.397040,124.00
0,0.397080,125.00
0,0.397120,124.00
0,0.397160,124.00
0,0.397200,124.00
0,0.397240,124.00
0,0.397280,125.00
0,0.397320,125.00
0,0.397360,124.00
0,0.397400,124.00
0,0.397440,124.00
0,0.397480,124.00
0,0.397520,124.00
0,0.397560,124.00
0,0.397600,124.00
0,0.397640,124.00
0,0.397680,124.00
0,0.397720,124.00
0,0.397760,124.00
0,0.397800,124.00
0,0.397840,124.00
0,0.397880,124.00
0,0.397920,124.00
0,0.397960,124.00
0,0.398000,124.00
0,0.398040,124.00
0,0.398080,123.00
0,0.398120,124.00
0,0.398160,124.00
0,0.398200,124.00
0,0.398240,124.00
0,0.398280,124.00
0,0.398320,123.00
0,0.398360,124.00
0,0.398400,124.00
0,0.398440,124.00
0,0.398480,124.00
0,0.398520,124.00
0,0.398560,124.00
0,0.398600,124.00
0,0.398640,124.00
0,0.398680,124.00
0,0.398720,123.00
0,0.398760,124.00
0,0.398800,124.00
0,0.398840,124.00
0,0.398880,124.00
0,0.398920,124.00
0,0.398960,124.00
0,0.399000,124.00
0,0.399040,124.00
0,0.399080,124.00
0,0.399120,124.00
0,0.399160,124.00
0,0.399200,123.00
0,0.399240,124.00
0,0.399280,125.00
0,0.399320,124.00
0,0.399360,124.00
0,0.399400,124.00
0,0.399440,124.00
0,0.399480,124.00
0,0.399520,124.00
0,0.399560,124.00
0,0.399600,124.00
0,0.399640,123.00
0,0.399680,124.00
0,0.399720,124.00
0,0.399760,124.00
0,0.399800,124.00
0,0.399840,124.00
0,0.399880,125.00
0,0.399920,124.00
0,0.399960,124.00
0,0.400000,124.00
0,0.400040,124.00
0,0.400080,124.00
0,0.400120,124.00
0,0.400160,124.00
0,0.400200,124.00
0,0.400240,124.00
0,0.400280,124.00
0,0.400320,124.00
0,0.400360,124.00
0,0.400400,124.00
0,0.400440,124.00
0,0.400480,124.00
0,0.400520,124.00
0,0.400560,124.00
0,0.400600,124.00
0,0.400640,124.00
0,0.400680,124.00
0,0.400720,124.00
0,0.400760,124.00
0,0.400800,125.00
0,0.400840,125.00
0,0.400880,124.00
0,0.400920,123.00
0,0.400960,124.00
0,0.401000,124.00
0,0.401040,124.00
0,0.401080,124.00
0,0.401120,124.00
0,0.401160,124.00
0,0.401200,124.00
0,0.401240,124.00
0,0.401280,124.00
0,0.401320,124.00
0,0.401360,123.00
0,0.401400,124.00
0,0.401440,123.00
0,0.401480,124.00
0,0.401520,124.00
0,0.401560,123.00
0,0.401600,123.00
0,0.401640,124.00
0,0.401680,124.00
0,0.401720,124.00
0,0.401760,125.00
0,0.401800,125.00
0,0.401840,124.00
0,0.401880,125.00
0,0.401920,125.00
0,0.401960,124.00
0,0.402000,124.00
0,0.402040,124.00
0,0.402080,124.00
0,0.402120,124.00
0,0.402160,124.00
0,0.402200,124.00
0,0.402240,124.00
0,0.402280,124.00
0,0.402320,123.00
0,0.402360,124.00
0,0.402400,124.00
0,0.402440,124.00
0,0.402480,124.00
0,0.402520,124.00
0,0.402560,124.00
0,0.402600,124.00
0,0.402640,124.00
0,0.402680,124.00
0,0.402720,124.00
0,0.402760,124.00
0,0.402800,124.00
0,0.402840,125.00
0,0.402880,124.00
0,0.402920,124.00
0,0.402960,124.00
0,0.403000,124.00
0,0.403040,124.00
0,0.403080,124.00
0,0.403120,124.00
0,0.403160,124.00
0,0.403200,124.00
0,0.403240,124.00
0,0.403280,124.00
0,0.403320,124.00
0,0.403360,123.00
0,0.403400,123.00
0,0.403440,124.00
0,0.403480,124.00
0,0.403520,125.00
0,0.403560,124.00
0,0.403600,124.00
0,0.403640,124.00
0,0.403680,124.00
0,0.403720,124.00
0,0.403760,124.00
0,0.403800,124.00
0,0.403840,124.00
0,0.403880,124.00
0,0.403920,124.00
0,0.403960,124.00
0,0.404000,124.00
0,0.404040,124.00
0,0.404080,124.00
0,0.404120,123.00
0,0.404160,124.00
0,0.404200,124.00
0,0.404240,124.00
0,0.404280,124.00
0,0.404320,124.00
0,0.404360,125.00
0,0.404400,124.00
0,0.404440,124.00
0,0.404480,124.00
0,0.404520,123.00
0,0.404560,124.00
0,0.404600,124.00
0,0.404640,124.00
0,0.404680,125.00
0,0.404720,124.00
0,0.404760,124.00
0,0.404800,124.00
0,0.404840,124.00
0,0.404880,124.00
0,0.404920,124.00
0,0.404960,124.00
0,0.405000,124.00
0,0.405040,124.00
0,0.405080,124.00
0,0.405120,124.00
0,0.405160,123.00
0,0.405200,123.00
0,0.405240,124.00
0,0.405280,124.00
0,0.405320,124.00
0,0.405360,124.00
0,0.405400,124.00
0,0.405440,124.00
0,0.405480,124.00
0,0.405520,125.00
0,0.405560,124.00
0,0.405600,124.00
0,0.405640,124.00
0,0.405680,124.00
0,0.405720,124.00
0,0.405760,124.00
0,0.405800,124.00
0,0.405840,124.00
0,0.405880,124.00
0,0.405920,124.00
0,0.405960,124.00
0,0.406000,124.00
0,0.406040,124.00
0,0.406080,124.00
0,0.406120,124.00
0,0.406160,124.00
0,0.406200,124.00
0,0.406240,125.00
0,0.406280,125.00
0,0.406320,124.00
0,0.406360,124.00
0,0.406400,124.00
0,0.406440,124.00
0,0.406480,124.00
0,0.406520,124.00
0,0.406560,124.00
0,0.406600,123.00
0,0.406640,124.00
0,0.406680,124.00
0,0.406720,124.00
0,0.406760,124.00
0,0.406800,124.00
0,0.406840,124.00
0,0.406880,124.00
0,0.406920,124.00
0,0.406960,124.00
0,0.407000,123.00
0,0.407040,124.00
0,0.407080,124.00
0,0.407120,124.00
0,0.407160,124.00
0,0.407200,123.00
0,0.407240,124.00
0,0.407280,124.00
0,0.407320,124.00
0,0.407360,124.00
0,0.407400,124.00
0,0.407440,124.00
0,0.407480,124.00
0,0.407520,124.00
0,0.407560,124.00
0,0.407600,124.00
0,0.407640,125.00
0,0.407680,124.00
0,0.407720,123.00
0,0.407760,124.00
0,0.407800,124.00
0,0.407840,124.00
0,0.407880,124.00
0,0.407920,124.00
0,0.407960,124.00
0,0.408000,124.00
0,0.408040,124.00
0,0.408080,124.00
0,0.408120,124.00
0,0.408160,124.00
0,0.408200,123.00
0,0.408240,124.00
0,0.408280,124.00
0,0.408320,124.00
0,0.408360,124.00
0,0.408400,124.00
0,0.408440,124.00
0,0.408480,124.00
0,0.408520,124.00
0,0.408560,124.00
0,0.408600,124.00
0,0.408640,124.00
0,0.408680,125.00
0,0.408720,124.00
0,0.408760,124.00
0,0.408800,124.00
0,0.408840,124.00
0,0.408880,124.00
0,0.408920,124.00
0,0.408960,124.00
0,0.409000,124.00
0,0.409040,124.00
0,0.409080,124.00
0,0.409120,123.00
0,0.409160,123.00
0,0.409200,123.00
0,0.409240,124.00
0,0.409280,124.00
0,0.409320,124.00
0,0.409360,124.00
0,0.409400,124.00
0,0.409440,124.00
0,0.409480,125.00
0,0.409520,125.00
0,0.409560,124.00
0,0.409600,124.00
0,0.409640,124.00
0,0.409680,124.00
0,0.409720,124.00
0,0.409760,124.00
0,0.409800,124.00
0,0.409840,124.00
0,0.409880,124.00
0,0.409920,125.00
0,0.409960,124.00
0,0.410000,124.00
0,0.410040,124.00
0,0.410080,124.00
0,0.410120,124.00
0,0.410160,124.00
0,0.410200,124.00
0,0.410240,124.00
0,0.410280,124.00
0,0.410320,124.00
0,0.410360,124.00
0,0.410400,124.00
0,0.410440,123.00
0,0.410480,124.00
0,0.410520,124.00
0,0.410560,124.00
0,0.410600,124.00
0,0.410640,124.00
0,0.410680,124.00
0,0.410720,124.00
0,0.410760,124.00
0,0.410800,124.00
0,0.410840,124.00
0,0.410880,125.00
0,0.410920,125.00
0,0.410960,123.00
0,0.411000,124.00
0,0.411040,124.00
0,0.411080,124.00
0,0.411120,124.00
0,0.411160,124.00
0,0.411200,125.00
0,0.411240,124.00
0,0.411280,124.00
0,0.411320,124.00
0,0.411360,124.00
0,0.411400,124.00
0,0.411440,124.00
0,0.411480,124.00
0,0.411520,123.00
0,0.411560,123.00
0,0.411600,123.00
0,0.411640,124.00
0,0.411680,124.00
0,0.411720,124.00
0,0.411760,124.00
0,0.411800,124.00
0,0.411840,124.00
0,0.411880,124.00
0,0.411920,124.00
0,0.411960,125.00
0,0.380000,76.00
0,0.380040,77.00
0,0.380080,162.00
0,0.380120,99.00
0,0.380160,136.00
0,0.380200,124.00
0,0.380240,116.00
0,0.380280,135.00
0,0.380320,116.00
0,0.380360,130.00
0,0.380400,124.00
0,0.380440,120.00
0,0.380480,130.00
0,0.380520,118.00
0,0.380560,128.00
0,0.380600,124.00
0,0.380640,121.00
0,0.380680,129.00
0,0.380720,119.00
0,0.380760,126.00
0,0.380800,124.00
