Time(ms),Amptitude(mV)
0.348360,123.00
0.348400,121.00
0.348440,120.00
0.348480,120.00
0.348520,122.00
0.348560,125.00
0.348600,126.00
0.348640,127.00
0.348680,127.00
0.348720,126.00
0.348760,126.00
0.348800,124.00
0.348840,122.00
0.348880,122.00
0.348920,122.00
0.348960,123.00
0.349000,123.00
0.349040,124.00
0.349080,125.00
0.349120,126.00
0.349160,126.00
0.349200,125.00
0.349240,125.00
0.349280,124.00
0.349320,123.00
0.349360,123.00
0.349400,123.00
0.349440,124.00
0.349480,124.00
0.349520,125.00
0.349560,125.00
0.349600,124.00
0.349640,124.00
0.349680,123.00
0.349720,123.00
0.349760,123.00
0.349800,123.00
0.349840,124.00
0.349880,125.00
0.349920,125.00
0.349960,126.00
0.350000,125.00
0.350040,125.00
0.350080,124.00
0.350120,124.00
0.350160,124.00
0.350200,123.00
0.350240,124.00
0.350280,125.00
0.350320,124.00
0.350360,125.00
0.350400,125.00
0.350440,124.00
0.350480,124.00
0.350520,124.00
0.350560,124.00
0.350600,123.00
0.350640,123.00
0.350680,124.00
0.350720,125.00
0.350760,125.00
0.350800,125.00
0.350840,124.00
0.350880,125.00
0.350920,124.00
0.350960,124.00
0.351000,123.00
0.351040,122.00
0.351080,122.00
0.351120,122.00
0.351160,124.00
0.351200,126.00
0.351240,127.00
0.351280,127.00
0.351320,127.00
0.351360,125.00
0.351400,123.00
0.351440,120.00
0.351480,119.00
0.351520,119.00
0.351560,121.00
0.351600,123.00
0.351640,126.00
0.351680,129.00
0.351720,130.00
0.351760,130.00
0.351800,129.00
0.351840,125.00
0.351880,122.00
0.351920,120.00
0.351960,118.00
0.352000,119.00
0.352040,121.00
0.352080,124.00
0.352120,127.00
0.352160,128.00
0.352200,130.00
0.352240,128.00
0.352280,125.00
0.352320,123.00
0.352360,121.00
0.352400,121.00
0.352440,121.00
0.352480,123.00
0.352520,124.00
0.352560,126.00
0.352600,126.00
0.352640,126.00
0.352680,126.00
0.352720,125.00
0.352760,123.00
0.352800,123.00
0.352840,123.00
0.352880,123.00
0.352920,123.00
0.352960,123.00
0.353000,123.00
0.353040,124.00
0.353080,125.00
0.353120,126.00
0.353160,125.00
0.353200,126.00
0.353240,126.00
0.353280,124.00
0.353320,123.00
0.353360,123.00
0.353400,122.00
0.353440,122.00
0.353480,123.00
0.353520,124.00
0.353560,127.00
0.353600,127.00
0.353640,128.00
0.353680,127.00
0.353720,124.00
0.353760,122.00
0.353800,120.00
0.353840,120.00
0.353880,121.00
0.353920,122.00
0.353960,125.00
0.354000,128.00
0.354040,129.00
0.354080,129.00
0.354120,127.00
0.354160,124.00
0.354200,121.00
0.354240,119.00
0.354280,119.00
0.354320,121.00
0.354360,123.00
0.354400,126.00
0.354440,127.00
0.354480,128.00
0.354520,127.00
0.354560,125.00
0.354600,123.00
0.354640,121.00
0.354680,120.00
0.354720,121.00
0.354760,122.00
0.354800,124.00
0.354840,126.00
0.354880,128.00
0.354920,127.00
0.354960,126.00
0.355000,125.00
0.355040,123.00
0.355080,122.00
0.355120,122.00
0.355160,123.00
0.355200,123.00
0.355240,123.00
0.355280,125.00
0.355320,126.00
0.355360,126.00
0.355400,125.00
0.355440,124.00
0.355480,123.00
0.355520,123.00
0.355560,122.00
0.355600,123.00
0.355640,124.00
0.355680,124.00
0.355720,125.00
0.355760,126.00
0.355800,126.00
0.355840,125.00
0.355880,124.00
0.355920,124.00
0.355960,123.00
0.356000,123.00
0.356040,123.00
0.356080,124.00
0.356120,125.00
0.356160,125.00
0.356200,125.00
0.356240,124.00
0.356280,124.00
0.356320,123.00
0.356360,123.00
0.356400,122.00
0.356440,123.00
0.356480,124.00
0.356520,125.00
0.356560,124.00
0.356600,124.00
0.356640,125.00
0.356680,125.00
0.356720,123.00
0.356760,123.00
0.356800,123.00
0.356840,123.00
0.356880,125.00
0.356920,125.00
0.356960,125.00
